starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	0	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	0	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	0
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
Thu Mar 06 01:18:53 2014	1394061533	0	1	1	1
